file,date,title,existing_categories,existing_tags,already_classified,suggested_category,method,detail,final_category
2015-04-05-alngkaarikn-duviniyoogn.markdown,2015-04-05 18:51:36,"അലങ്കാരികം, ദുർവിനിയോഗം!",philosophy|malayalam|personal,writing|books|rants,true,malayalam,unicode-detected,1000 Malayalam-range chars,philosophy|malayalam|personal
2015-04-06-wanderlust.markdown,2015-04-06 06:49:57,Wanderlust.,philosophy,blog|english|rants,true,"",weak-match,too close to call (books:1) — needs manual read,philosophy
2015-04-12-lets-not-kill-the-internet-that-made-us.markdown,2015-04-12 12:31:05,Let's not kill the Internet that made us.,politics|philosophy,blog|technology|rants,true,tech,keyword-heuristic,"tech:6, politics:1, books:1",politics|philosophy
2015-05-17-mysticism-and-heroin.markdown,2015-05-17 11:37:11,Mysticism and heroin,personal,writing|blog|rants,true,"",weak-match,"too close to call (philosophy:5, books:5, politics:2) — needs manual read",personal
2015-05-26-the-night-before-the-journey.markdown,2015-05-26 11:56:22,The night before the journey.,personal,travel,true,"",weak-match,"too close to call (personal:2, books:2, tech:2) — needs manual read",personal
2015-07-06-high.markdown,2015-07-06 17:58:19,High,personal,writing|blog|english,true,"",weak-match,"too close to call (personal:2, philosophy:1) — needs manual read",personal
2015-07-07-prnnyn.markdown,2015-07-07 18:05:39,പ്രണയം,philosophy,"",true,malayalam,unicode-detected,183 Malayalam-range chars,philosophy
2015-07-24-one-hundred-years-of-solitude.markdown,2015-07-24 19:52:08,One hundred years of Solitude.,books,writing|blog|reading,true,"",weak-match,"too close to call (personal:2, books:2) — needs manual read",books
2015-08-11-depth.markdown,2015-08-11 18:39:39,Ideas,philosophy,"",true,"",weak-match,too close to call (personal:1) — needs manual read,philosophy
2015-08-31-how-to-evaluate-a-programmer.markdown,2015-08-31 12:31:31,How to evaluate a programmer?,tech,development|technology|engineering|software,true,tech,keyword-heuristic,"tech:3, books:1",tech
2015-09-17-is-it-okay-to-love-someone-knowing-you-cant-be-with-them.markdown,2015-09-17 06:24:14,Is it okay to love someone knowing you can't be with them?,personal,writing|quora,true,tech,keyword-heuristic,"tech:7, personal:6, books:1",personal
2015-09-29-pcc-mnussy.markdown,2015-09-29 18:03:44,പച്ച മനുഷ്യൻ,philosophy|malayalam,malayalam,true,malayalam,unicode-detected,1731 Malayalam-range chars,philosophy|malayalam
2015-09-29-thingspeak-temperature-and-humidity-data.markdown,2015-09-29 08:13:12,ThingSpeak Temperature and Humidity Data.,tech,development|esp8266,true,tech,keyword-heuristic,tech:4,tech
2015-10-01-ghost-is-simply-awesome.markdown,2015-10-01 08:23:40,When I met the ghost again!,politics,writing|ghost-tag|blog,true,"",no-match,no keyword hits — needs manual read,politics
2015-10-07-when-i-typed-at-night.markdown,2015-10-07 19:13:01,When I typed at night.,personal,writing|reading|rants,true,philosophy,keyword-heuristic,"philosophy:7, books:4",personal
2015-10-12-introduction-to-the-internet-of-things.markdown,2015-10-12 11:09:19,Introduction to the Internet of Things,tech,technology|events|bangalore,true,tech,keyword-heuristic,"tech:7, policy:1",tech
2015-10-15-the.markdown,2015-10-15 21:13:38,The Tinder Ghost.,personal,writing|rants,true,"",no-match,no keyword hits — needs manual read,personal
2015-11-07-patriarchy.markdown,2015-11-07 11:18:09,Patriarchy.,politics|philosophy,blog|english|rants,true,"",weak-match,too close to call (policy:1) — needs manual read,politics|philosophy
2015-11-13-lukkaa-cuppi.markdown,2015-11-13 16:35:13,ലുക്കാ ചുപ്പി.,malayalam,malayalam-1,true,malayalam,unicode-detected,3748 Malayalam-range chars,malayalam
2015-12-09-imma-goin.markdown,2015-12-09 16:34:15,Imma goin.,philosophy,rants,true,tech,keyword-heuristic,tech:5,philosophy
2016-01-03-happy-new-year.markdown,2016-01-03 04:45:16,Happy New Year!,philosophy|personal,rants,true,"",weak-match,"too close to call (philosophy:2, books:2) — needs manual read",philosophy|personal
2016-01-07-karutha-vavu.markdown,2016-01-07 15:54:50,കറുത്ത വാവ്.,philosophy|malayalam,malayalam,true,malayalam,unicode-detected,3678 Malayalam-range chars,philosophy|malayalam
2016-01-21-i-have-problems-with-your-moral-sensitivities-and-there-is-nothing-you-can-do.markdown,2016-01-21 06:27:38,I have problems with your moral sensitivities and there is nothing that you can do about it.,politics|philosophy,writing|life|humans,true,personal,keyword-heuristic,"personal:12, philosophy:7, books:7",politics|philosophy
2016-01-27-shibboleth-strings.markdown,2016-01-27 06:23:28,Shibboleth Strings.,personal,writing|english|life,true,personal,keyword-heuristic,"personal:14, books:4",personal
2016-02-02-she-is-euthymia.markdown,2016-02-02 11:55:36,She is Euthymia.,philosophy|personal,rants|art,true,personal,keyword-heuristic,"personal:4, tech:2, politics:1",philosophy|personal
2016-02-03-love-now-sadth.markdown,2016-02-03 16:30:54,Love Now'Sadth.,philosophy|personal,life|rants|art,true,personal,keyword-heuristic,"personal:8, philosophy:3, books:1",philosophy|personal
2016-02-05-lliness.markdown,2016-02-05 21:54:50,LLiness.,philosophy|personal,writing|rants,true,philosophy,keyword-heuristic,"philosophy:7, politics:1, books:1",philosophy|personal
2016-02-13-vaalante-dhinam.markdown,2016-02-13 07:36:53,"വാലന്റെ ദിനം, ധന്വന്തര മന്ത്രം - ആദിമ പകുതി.",philosophy|malayalam,rants|malayalam,true,malayalam,unicode-detected,2888 Malayalam-range chars,philosophy|malayalam
2016-02-20-my-different-nation-2.markdown,2016-02-20 06:34:22,My Different Nation.,philosophy,blog|rants,true,politics,keyword-heuristic,"politics:18, policy:3, personal:3",philosophy
2016-03-16-inimical-love.markdown,2016-03-16 18:19:47,Inimical Love.,philosophy|personal,blog|english|philosophy,true,"",weak-match,"too close to call (philosophy:2, personal:2, books:1) — needs manual read",philosophy|personal
2016-03-19-how-do-you-cope-with-the-feeling-of-inferiority-when-youre-surrounded-by-brilliant-minds.markdown,2016-03-19 11:18:02,How do you cope with the feeling of inferiority when you're surrounded by brilliant minds?,philosophy,quora,true,tech,keyword-heuristic,"tech:7, books:1",philosophy
2016-04-20-are-college-professors-allowed-to-call-students-on-their-cell-phones.markdown,2016-04-20 05:56:19,Are college professors allowed to call students on their cell phones?,philosophy,english|quora|learning,true,tech,keyword-heuristic,"tech:7, personal:6, books:1",philosophy
2016-04-21-21-the-black-jack-2.markdown,2016-04-21 20:08:02,"21, The black jack.",philosophy,writing|english|life,true,personal,keyword-heuristic,"personal:4, books:3, philosophy:2",philosophy
2016-04-27-why-arent-we-treated-alike.markdown,2016-04-27 06:15:27,Why aren't we treated alike?,politics|philosophy,philosophy|society|india,true,"",weak-match,"too close to call (politics:11, policy:11, personal:1) — needs manual read",politics|philosophy
2016-04-30-just-the-gujarat-riots.markdown,2016-04-30 13:23:03,'Just' the Gujarat Riots.,philosophy,life|society|india,true,"",weak-match,"too close to call (politics:2, personal:2, philosophy:1) — needs manual read",philosophy
2016-05-09-the-most-extraordinary-tales-of-love.markdown,2016-05-09 18:55:24,The most extraordinary tales of love.,personal,"",true,personal,keyword-heuristic,"personal:14, books:10, philosophy:4",personal
2016-05-11-our-sensitivities-towards-attappadi.markdown,2016-05-11 10:42:09,"It's not about #PoMoneModi, It's about our own Attappady.",philosophy,india|modi|attapadi|attappady|pomonemodi,true,politics,keyword-heuristic,"politics:12, philosophy:2, tech:2",philosophy
2016-05-17-shaayirinte-thanupp.markdown,2016-05-17 14:18:29,ശായിറിന്റെ തണുപ്പ്. (1),malayalam,"",true,malayalam,unicode-detected,4508 Malayalam-range chars,malayalam
2016-05-24-kammattipaadathe-sooryakanthipookkal.markdown,2016-05-24 14:07:49,കമ്മട്ടിപ്പാടത്തെ സൂര്യകാന്തി പൂക്കൾ.,malayalam,kammattipaadam|kammatti|paadam|kammattipaadam-2|rajiv|ravi,true,malayalam,unicode-detected,2970 Malayalam-range chars,malayalam
2016-06-15-appolllun-prrnynyillee.markdown,2016-06-15 18:56:50,അപ്പൊഴും പറഞ്ഞില്ലേ?,malayalam,"",true,malayalam,unicode-detected,793 Malayalam-range chars,malayalam
2016-06-15-kammatipadam-a-story-of-land-and-2.markdown,2016-06-15 19:29:34,Kammatti paadam - A tribute to lost souls and the songs they sung.,politics|philosophy,"",true,personal,keyword-heuristic,"personal:6, books:3, politics:1",politics|philosophy
2016-06-17-the-mellow-ghost.markdown,2016-06-17 15:40:03,The Mellow Ghost.,personal,"",true,personal,keyword-heuristic,"personal:18, philosophy:4, politics:3",personal
2016-06-17-videshi.markdown,2016-06-17 12:06:24,വിദേശി.,malayalam,rants|malayalam-1,true,malayalam,unicode-detected,591 Malayalam-range chars,malayalam
2016-06-23-catching-the-thoughts-neural-networks.markdown,2016-06-23 18:49:09,Catching the thoughts : Neural Networks.,philosophy,"",true,tech,keyword-heuristic,"tech:81, philosophy:2, books:2",philosophy
2016-06-26-david-foster-wallace-commencement-speech.markdown,2016-06-26 11:27:31,"Kenyon Commencement speech by David Foster Wallace , 2005.",philosophy,"",true,"",weak-match,"too close to call (philosophy:2, personal:2, books:1) — needs manual read",philosophy
2016-07-11-marphiyude-niyamam.markdown,2016-07-11 14:19:20,മർഫിയുടെ നിയമം.,philosophy|malayalam,rants|malayalam|malayalam-1,true,malayalam,unicode-detected,191 Malayalam-range chars,philosophy|malayalam
2016-07-19-qanteel-baloch-death.markdown,2016-07-19 07:49:30,Thoughts triggered by the death of Qandeel Baloch.,philosophy,india|baloch|pakistan|brotherhood|compassion|qandeel|qandeel-baloch,true,politics,keyword-heuristic,"politics:4, personal:1",philosophy
2016-07-26-pizhachavante-neelachitram.markdown,2016-07-26 19:19:49,പിഴച്ചവന്റെ നീലച്ചിത്രം.,philosophy,"",true,malayalam,unicode-detected,2465 Malayalam-range chars,philosophy
2016-08-04-pranayaarambham.markdown,2016-08-04 08:20:22,പ്രണയാരംഭം.,philosophy|malayalam,malayalam-1,true,malayalam,unicode-detected,2496 Malayalam-range chars,philosophy|malayalam
2016-08-08-not-to-take-for-granted.markdown,2016-08-08 16:54:42,Not to be taken for granted.,politics|philosophy,"",true,personal,keyword-heuristic,"personal:8, philosophy:1",politics|philosophy
2016-08-09-hilarious-reviews-of-android-webview-on-google-play-store.markdown,2016-08-09 16:49:20,Hilarious reviews of Android Webview on Google Play Store.,tech,"",true,"",no-match,no keyword hits — needs manual read,tech
2016-08-10-aanum-pennum.markdown,2016-08-10 15:54:23,ആണും പെണ്ണും.,philosophy,"",true,malayalam,unicode-detected,3685 Malayalam-range chars,philosophy
2016-08-27-if-not-genes-what-brings-success.markdown,2016-08-27 07:31:15,"If it's not the genes, what brings success?",personal,"",true,tech,keyword-heuristic,"tech:3, philosophy:1",personal
2016-08-28-irakal.markdown,2016-08-28 07:27:37,ഇരകൾ.,malayalam,"",true,malayalam,unicode-detected,1886 Malayalam-range chars,malayalam
2016-09-08-yakshi.markdown,2016-09-08 22:23:24,യക്ഷി.,malayalam,"",true,malayalam,unicode-detected,3903 Malayalam-range chars,malayalam
2016-10-23-a-sea-of-lost-dreams.markdown,2016-10-23 14:13:55,A sea of lost dreams.,philosophy,"",true,personal,keyword-heuristic,"personal:3, philosophy:1, books:1",philosophy
2016-11-15-inexplicable-firmware-problems.markdown,2016-11-15 06:33:16,Inexplicable firmware problems.,tech,"",true,"",no-match,no keyword hits — needs manual read,tech
2016-11-16-an-open-challenge-for-ms-tejasvita-apte.markdown,2016-11-16 11:38:34,An Open challenge for Ms. Tejasvita Apte.,tech,"",true,politics,keyword-heuristic,"politics:17, tech:7, books:2",tech
2016-11-19-catching-the-thoughts-neural-networks-2.markdown,2016-11-19 19:08:54,Catching the thoughts : Neural Networks.,philosophy,"",true,tech,keyword-heuristic,"tech:81, philosophy:2, books:2",philosophy
2016-11-24-shit-software-engineers-do.markdown,2016-11-24 15:12:07,Shit software engineers do.,tech,"",true,philosophy,keyword-heuristic,"philosophy:5, tech:3, books:1",tech
2016-12-21-padacha-katha.markdown,2016-12-21 10:46:24,പടച്ച കഥ.,malayalam,"",true,malayalam,unicode-detected,156 Malayalam-range chars,malayalam
2017-02-01-love-jihad-love-dharmayudham.markdown,2017-02-01 14:26:00,ലവ് ജിഹാദും ലവ് ധർമ്മയുദ്ധവും.,malayalam,"",true,malayalam,unicode-detected,1219 Malayalam-range chars,malayalam
2017-02-03-if-biology-doesnt-get-you-economics-will.markdown,2017-02-03 11:51:18,"If biology doesn't get you, economics will.",politics|philosophy,"",true,"",no-match,no keyword hits — needs manual read,politics|philosophy
2017-02-21-excerpts-from-the-past-series.markdown,2017-02-21 06:43:38,"Excerpts from the past - Bacon, 1624. [Series]",philosophy,"",true,"",weak-match,"too close to call (politics:1, philosophy:1, books:1) — needs manual read",philosophy
2017-05-22-mascara-butterflies-and-mango-manchurian.markdown,2017-05-22 09:37:48,"Mascara, Butterflies and Mango Manchurian.",philosophy,"",true,personal,keyword-heuristic,"personal:7, books:6, philosophy:4",philosophy
2017-06-22-one-more-crusade-sir-no-thanks.markdown,2017-06-22 10:39:54,"One more Crusade Sir? No, Thanks!",politics,"",true,"",weak-match,"too close to call (politics:3, books:3, policy:1) — needs manual read",politics
2017-06-23-how-you-should-teach-values-to-your-kid.markdown,2017-06-23 16:11:43,How you should be teaching values to your kid.,politics|policy|philosophy,"",true,philosophy,keyword-heuristic,"philosophy:5, politics:2, personal:2",politics|policy|philosophy
2017-07-04-amaram-nirmarjjanam-dharidhram.markdown,2017-07-04 19:51:23,"അമരം, നിർമാർജ്ജനം, ദരിദ്രം.",philosophy,"",true,malayalam,unicode-detected,9025 Malayalam-range chars,philosophy
2017-07-08-my-old-wallet-2.markdown,2017-07-08 21:22:15,My old wallet.,philosophy|personal,"",true,"",no-match,no keyword hits — needs manual read,philosophy|personal
2017-07-20-tussle-among-the-unequals.markdown,2017-07-20 18:40:26,Tussle among the unequals.,philosophy,"",true,policy,keyword-heuristic,"policy:10, philosophy:2, politics:1",philosophy
2017-07-21-the-story-of-ishi.markdown,2017-07-21 07:37:35,The Story of Ishi.,politics,"",true,books,keyword-heuristic,"books:6, personal:4, philosophy:2",politics
2017-08-22-triple-talaq.markdown,2017-08-22 13:24:32,Triple Talaq,policy|philosophy,"",true,"",weak-match,"too close to call (politics:11, policy:11, philosophy:8) — needs manual read",policy|philosophy
2017-08-27-ram-rahim-and-religions-of-the-world.markdown,2017-08-27 05:50:19,"Ram, Rahim and religions of the world.",politics|policy,"",true,politics,keyword-heuristic,"politics:5, philosophy:3, policy:2",politics|policy
2018-03-19-poomaram-review.markdown,2018-03-19 12:36:19,A movie that treats you the way you treat art!,philosophy,"",true,personal,keyword-heuristic,"personal:6, books:4, philosophy:3",philosophy
2018-03-29-padmaavat-review.markdown,2018-03-29 10:51:39,This is just porn; stay away from it.,philosophy,"",true,"",weak-match,"too close to call (politics:3, books:3, philosophy:1) — needs manual read",philosophy
2018-04-01-identity-politics.markdown,2018-04-01 12:42:39,About Identity Politics.,policy|philosophy,"",true,"",weak-match,too close to call (politics:2) — needs manual read,policy|philosophy
2018-04-07-mazha-parayunna-kaaryangal.markdown,2018-04-07 18:54:49,മഴ പറയുന്ന കാര്യങ്ങൾ.,malayalam,"",true,malayalam,unicode-detected,763 Malayalam-range chars,malayalam
2018-04-14-caste-and-loathing.markdown,2018-04-14 10:51:39,Caste and loathing in Indo-Pakistan.,policy|philosophy,"",true,politics,keyword-heuristic,"politics:20, policy:3, philosophy:1",policy|philosophy
2018-04-18-islamic-world-and-terrorism.markdown,2018-04-18 21:30:49,Was the Muslim world more secular in the 1970s than now?,politics,"",true,tech,keyword-heuristic,"tech:7, politics:6, books:2",politics
2018-04-19-emotive-people-i-despise-thy-kingdom.markdown,2018-04-19 11:56:18,"Emotive people, I despise thy kingdom!",philosophy,"",true,politics,keyword-heuristic,"politics:12, personal:5, philosophy:1",philosophy
2018-04-23-small-talk-on-affirmative-action.markdown,2018-04-23 10:47:26,Small talk on affirmative action.,policy|philosophy,"",true,politics,keyword-heuristic,"politics:11, policy:4, philosophy:3",policy|philosophy
2018-04-29-anastasia-question.markdown,2018-04-29 11:56:45,Anastasia and her questions.,philosophy|personal,"",true,personal,keyword-heuristic,"personal:5, books:3, philosophy:1",philosophy|personal
2018-06-23-review-of-lust-stories.markdown,2018-06-23 11:56:45,Review of Lust Stories.,philosophy|personal|books,"",true,personal,keyword-heuristic,"personal:6, politics:4, philosophy:3",philosophy|personal|books
2018-06-30-some-imminent-trouble.markdown,2018-06-30 14:51:39,Some imminent trouble.,politics|philosophy,"",true,politics,keyword-heuristic,"politics:7, philosophy:1, personal:1",politics|philosophy
2018-07-01-when-to-kill-democracy.markdown,2018-07-01 15:52:39,How to kill a Democracy.,policy|philosophy,"",true,politics,keyword-heuristic,"politics:27, philosophy:1",policy|philosophy
2018-07-10-where-did-freedom-and-liberty-come-from.markdown,2018-07-10 10:51:39,"Where did the American ideals of Liberty, Equality and unalienable rights come from?",policy|philosophy,"",true,politics,keyword-heuristic,"politics:11, tech:7, books:1",policy|philosophy
2018-07-17-why-do-we-have-myths.markdown,2018-07-17 17:45:29,"Why do we have myths, Bob?",philosophy,"",true,philosophy,keyword-heuristic,"philosophy:6, books:2, politics:1",philosophy
2018-07-29-life-after-death.markdown,2018-07-29 20:25:39,Life after death.,philosophy,"",true,philosophy,keyword-heuristic,"philosophy:12, personal:4, tech:3",philosophy
2018-08-11-the-empire-of-love.markdown,2018-08-11 22:35:39,The empire of love.,personal,"",true,personal,keyword-heuristic,"personal:13, policy:4, politics:3",personal
2018-09-04-price-of-a-woman.markdown,2018-09-04 11:15:39,Price of a Woman.,philosophy,"",true,"",weak-match,"too close to call (policy:2, personal:1) — needs manual read",philosophy
2018-09-06-courts-have-limits.markdown,2018-09-06 15:00:32,The Courts alone won't do!,policy|philosophy,"",true,policy,keyword-heuristic,"policy:8, politics:1",policy|philosophy
2018-09-15-what-is-intelligence.markdown,2018-09-15 10:06:59,What is intelligence?,tech,"",true,"",weak-match,too close to call (tech:2) — needs manual read,tech
2018-10-02-idea-of-gandhi.markdown,2018-10-02 10:38:22,The idea of Gandhi.,politics,"",true,politics,keyword-heuristic,"politics:33, philosophy:10, policy:3",politics
2018-10-07-if-i-were-to-vote-in-american-elections.markdown,2018-10-07 11:48:39,As a non American which party would you vote for if you lived in the US?,philosophy,"",true,politics,keyword-heuristic,"politics:14, tech:7, books:2",philosophy
2018-10-12-the-last-letter-sagar.markdown,2018-10-12 22:42:23,The Last Letter - Letters from Sagar to Ananya.,personal,"",true,personal,keyword-heuristic,"personal:10, books:2, philosophy:1",personal
2018-11-02-tikes-finally-makes-the-hike.markdown,2018-11-02 19:04:39,Tikes finally makes the hike.,personal,"",true,personal,keyword-heuristic,"personal:12, politics:1, philosophy:1",personal
2018-11-14-pulchurulile-vishudha-paadangal.markdown,2018-11-14 22:06:39,പുൽച്ചുരുളിലെ വിശുദ്ധപാഠങ്ങൾ.,malayalam,"",true,malayalam,unicode-detected,7729 Malayalam-range chars,malayalam
2018-11-16-revenge-of-the-barbarians-1.markdown,2018-11-16 13:53:39,Revenge of the Barbarians.,politics,"",true,"",weak-match,"too close to call (personal:4, books:4, philosophy:2) — needs manual read",politics
2018-12-06-the-disenfranchisement-of-indian-farmer.markdown,2018-12-06 14:21:44,The Disenfranchisement of Indian Farmer.,policy|philosophy,"",true,politics,keyword-heuristic,"politics:27, philosophy:3, books:3",policy|philosophy
2018-12-18-story-of-a-song-entangled-in-barbed-wire-fences.markdown,2018-12-18 18:12:39,Story of a song entangled in barbed wire fences.,philosophy,"",true,politics,keyword-heuristic,"politics:3, personal:2, philosophy:1",philosophy
2018-3-15-hi-there.md,"",Hi there!,personal,"",true,"",weak-match,too close to call (personal:2) — needs manual read,personal
2019-01-02-books-of-2019.markdown,2019-01-02 22:15:59,Books of 2019.,philosophy,"",true,books,keyword-heuristic,"books:30, politics:4, policy:1",philosophy
2019-01-08-reservations-for-the-most-stupid.markdown,2019-01-08 10:59:21,Reservations for the most stupid.,politics|philosophy,"",true,politics,keyword-heuristic,"politics:4, philosophy:2, books:1",politics|philosophy
2019-01-21-the-dancer-and-the-dance.markdown,2019-01-21 12:42:39,The dancer and the dance.,politics|philosophy,"",true,politics,keyword-heuristic,"politics:20, philosophy:5, tech:3",politics|philosophy
2019-01-30-about-the-brain-is-not-a-computer.markdown,2019-01-30 08:57:21,Brain is not a computer!,philosophy,"",true,tech,keyword-heuristic,"tech:5, philosophy:3, policy:2",philosophy
2019-02-12-of-data-democracy-and-beyond-part-1.markdown,2019-02-12 16:45:39,Of Data Democracy and beyond - Part 1.,politics|policy,"",true,philosophy,keyword-heuristic,"philosophy:8, politics:6, tech:6",politics|policy
2019-02-15-where-soldiers-come-from.markdown,2019-02-15 17:23:39,Do you know where soldiers come from?,politics|philosophy,"",true,books,keyword-heuristic,"books:6, politics:5, personal:4",politics|philosophy
2019-03-02-feminism-and-science.markdown,2019-03-02 08:13:39,Feminism and Science.,politics,"",true,tech,keyword-heuristic,"tech:7, policy:2, philosophy:1",politics
2019-03-21-and-then-we-spoke-in-the-tongues-that-chose-us.markdown,2019-03-21 00:25:39,And then we spoke in tongues that chose us.,philosophy,"",true,politics,keyword-heuristic,"politics:7, philosophy:4, personal:4",philosophy
2019-04-08-forty-year-old-dream.markdown,2019-04-08 10:32:21,A Forty year old dream.,philosophy,"",true,personal,keyword-heuristic,"personal:22, policy:4, philosophy:4",philosophy
2019-04-12-looking-beyond-blackhole.markdown,2019-04-12 09:29:39,Looking beyond the Black hole.,politics|philosophy|personal|tech,"",true,tech,keyword-heuristic,"tech:5, politics:3, policy:1",politics|philosophy|personal|tech
2019-04-25-bilkis-bharat-mata.markdown,2019-04-25 08:23:39,"Bilkis, Bharat Mata.",philosophy,"",true,politics,keyword-heuristic,"politics:10, personal:8, policy:3",philosophy
2019-05-04-memories-of-letters-lost.markdown,2019-05-04 15:12:24,Memories of letters lost.,philosophy,"",true,personal,keyword-heuristic,"personal:37, books:29, philosophy:3",philosophy
2019-05-07-come-meet-me.markdown,2019-05-07 15:12:39,"Come, meet me.",personal,"",true,personal,keyword-heuristic,personal:8,personal
2019-05-14-killing-a-small-sparrow.markdown,2019-05-14 20:52:32,Killing a small sparrow.,personal,"",true,"",weak-match,"too close to call (personal:6, books:6, philosophy:2) — needs manual read",personal
2019-05-20-a-way-forward-for-india.markdown,2019-05-20 11:55:09,A way forward for India.,policy|philosophy,"",true,politics,keyword-heuristic,"politics:37, philosophy:26, personal:4",policy|philosophy
2019-05-25-another-love-letter-to-tara.markdown,2019-05-25 22:09:53,Another love letter to Tara.,personal,"",true,personal,keyword-heuristic,"personal:31, books:6, politics:3",personal
2019-05-28-heroin-1.markdown,2019-05-28 14:16:59,Heroin.,personal,"",true,personal,keyword-heuristic,"personal:3, philosophy:1, books:1",personal
2019-06-14-unda-movie.markdown,2019-06-14 19:22:39,ഉണ്ട.,malayalam,"",true,malayalam,unicode-detected,7665 Malayalam-range chars,malayalam
2019-06-21-forbidden-fruits-of-the-day.markdown,2019-06-21 19:59:39,Forbidded fruits of the day.,philosophy,"",true,politics,keyword-heuristic,"politics:3, policy:1, philosophy:1",philosophy
2019-07-13-writing-about-myths.markdown,2019-07-13 20:52:44,Writing about myths.,politics|personal,"",true,philosophy,keyword-heuristic,"philosophy:4, personal:2, books:1",politics|personal
2019-08-24-sagar-sleep-walking.markdown,2019-08-24 22:11:44,"Sagar, Sleep Walking.",politics|policy|philosophy|personal,"",true,personal,keyword-heuristic,"personal:24, books:6, philosophy:4",politics|policy|philosophy|personal
2019-09-12-aaj-jaane-ki-zid-na-karo.markdown,2019-09-12 23:43:39,Aaj Jaane Ki Zid Na Karo.,philosophy,"",true,personal,keyword-heuristic,"personal:19, policy:1",philosophy
2019-09-28-waiting-for-the-bluebird-to-come-in.markdown,2019-09-28 21:35:39,Meeting bluebird.,personal,"",true,personal,keyword-heuristic,"personal:10, politics:1",personal
